Date,Groups,Info,Location,Time,Type
3/2/2022,Mayor and City Council of the City of San Bernardino,http://sanbernardinocityca.iqm2.com/Citizens/Detail_Meeting.aspx?ID=3234,"Feldheym Central Library   555 West 6th Street   San Bernardino, CA  92410",5:30 PM,Regular Meeting
3/16/2022,Mayor and City Council of the City of San Bernardino,http://sanbernardinocityca.iqm2.com/Citizens/Detail_Meeting.aspx?ID=3236,"Feldheym Central Library   555 West 6th Street   San Bernardino, CA  92410",5:30 PM,Regular Meeting
10/5/2022,Mayor and City Council of the City of San Bernardino,http://sanbernardinocityca.iqm2.com/Citizens/Detail_Meeting.aspx?ID=3248,"Feldheym Central Library   555 West 6th Street   San Bernardino, CA  92410",5:30 PM,Regular Meeting
9/28/2022,Development Environmental Review Committee,http://sanbernardinocityca.iqm2.com/Citizens/Detail_Meeting.aspx?ID=3396,"201 North ""E"" Street, 3RD Floor   San Bernardino, CA  92401",10:00 AM,Regular Meeting
10/6/2022,Charter Review Committee,http://sanbernardinocityca.iqm2.com/Citizens/Detail_Meeting.aspx?ID=3403,"201 North ""E"" Street, 3RD Floor   San Bernardino, CA  92401",6:00 PM,Regular Meeting
9/21/2022,Mayor and City Council of the City of San Bernardino,http://sanbernardinocityca.iqm2.com/Citizens/Detail_Meeting.aspx?ID=3247,"Feldheym Central Library   555 West 6th Street   San Bernardino, CA  92410",5:30 PM,Regular Meeting
9/15/2022,General Plan Advisory Committee,http://sanbernardinocityca.iqm2.com/Citizens/Detail_Meeting.aspx?ID=3324,"201 North ""E"" Street, 3RD Floor   San Bernardino, CA  92401",6:00 PM,Regular Meeting
9/15/2022,Administrative Civil Penalty (ACP) Hearings,http://sanbernardinocityca.iqm2.com/Citizens/Detail_Meeting.aspx?ID=3400,"201 North ""E"" Street, 3RD Floor   San Bernardino, CA  92401",10:00 AM,Hearing
9/19/2022,Arts and Historical Preservation Commission,http://sanbernardinocityca.iqm2.com/Citizens/Detail_Meeting.aspx?ID=3394,"201 North ""E"" Street, 3RD Floor   San Bernardino, CA  92401",4:00 PM,Regular Meeting
9/15/2022,"Parks, Recreation & Community Services Commission",http://sanbernardinocityca.iqm2.com/Citizens/Detail_Meeting.aspx?ID=3395,"201 North ""E"" Street, 3RD Floor   San Bernardino, CA  92401",4:00 PM,Regular Meeting
9/14/2022,Animal Control Commission,http://sanbernardinocityca.iqm2.com/Citizens/Detail_Meeting.aspx?ID=3308,"201 N. ""E"" Street   San Bernardino, CA  92401",4:00 PM,Regular Meeting
9/14/2022,Development Environmental Review Committee,http://sanbernardinocityca.iqm2.com/Citizens/Detail_Meeting.aspx?ID=3375,"201 North ""E"" Street, 3RD Floor   San Bernardino, CA  92401",10:00 AM,Regular Meeting
9/12/2022,Public Safety and Human Relations Commission,http://sanbernardinocityca.iqm2.com/Citizens/Detail_Meeting.aspx?ID=3402,"201 North ""E"" Street, 3RD Floor   San Bernardino, CA  92401",6:00 PM,Regular
9/13/2022,Library Board,http://sanbernardinocityca.iqm2.com/Citizens/Detail_Meeting.aspx?ID=3401,"Feldheym Central Library   555 West 6th Street   San Bernardino, CA  92410",3:00 PM,Regular Meeting
9/13/2022,Planning Commission,http://sanbernardinocityca.iqm2.com/Citizens/Detail_Meeting.aspx?ID=3370,"201 North ""E"" Street, 3RD Floor   San Bernardino, CA  92401",6:00 PM,Regular Meeting
9/7/2022,Mayor and City Council of the City of San Bernardino,http://sanbernardinocityca.iqm2.com/Citizens/Detail_Meeting.aspx?ID=3246,"Feldheym Central Library   555 West 6th Street   San Bernardino, CA  92410",5:30 PM,Regular Meeting
